[2026-03-13 21:18:37.902] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:37.915] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:37.928] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:37.942] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:37.956] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:37.969] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:37.983] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:37.997] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:38.010] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:38.023] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:38.037] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:38.049] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:38.062] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:38.074] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:38.088] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:38.102] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:38.115] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:38.126] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:38.139] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:38.152] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:38.163] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:38.176] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:38.190] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:38.205] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:38.219] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:38.234] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:38.248] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:38.263] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:38.275] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:38.288] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:38.301] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:38.314] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:38.327] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:38.340] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:38.354] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:38.368] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:38.384] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:38.397] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:38.411] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:38.425] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:38.440] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:38.455] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:38.471] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:38.486] [debug] 显示图像大小: 640x512
